Stock,Avg_Turnover_Cr,Median_Turnover_Cr,Min_Turnover_Cr,Max_Turnover_Cr,Avg_Volume,Latest_Price,Avg_Spread_%,Trading_Days
ADANIENT,289.7238354068356,189.3000514238281,0.0,2010.400074,1186711.992063492,2282.39990234375,2.2914716443639764,126
APOLLOHOSP,287.9837477384286,247.85459722524413,0.0,1787.143493428955,383022.38095238095,7101.0,1.5533975297580587,126
ASIANPAINT,297.44622089877817,215.60498700947267,0.0,1760.6324611955079,1161169.5714285714,2764.800048828125,1.762469335610511,126
AXISBANK,759.0294601069678,643.9103743168945,0.0,4183.242877159058,6542110.126984127,1286.0999755859375,1.5712202874024974,126
BAJAJ-AUTO,319.34836759399184,287.42869705,0.0,925.6243472,365409.6666666667,9015.0,1.7099929593600596,126
BAJFINANCE,715.9296089339421,604.5006260747467,0.0,2388.645731807434,7377902.674603174,1017.2999877929688,2.043771867543155,126
BAJAJFINSV,225.31486304911496,189.5263712358887,0.0,1290.8232008,1112069.6587301588,2083.10009765625,1.80034760020417,126
BHARTIARTL,1352.177882937946,967.5729863650268,0.0,17433.873146293397,6837638.658730159,2083.39990234375,1.5380438854571363,126
BRITANNIA,197.82865198078727,153.5958174,0.0,1282.28931135,340162.3333333333,5915.5,1.9250583648582624,126
CIPLA,209.60304655926151,175.0878281421692,0.0,800.94503375,1369816.0555555555,1517.4000244140625,1.623077633646338,126
COALINDIA,199.87969663367923,172.04817358891296,0.0,998.8547771102723,5363329.785714285,383.3500061035156,1.3761458492409286,126
DIVISLAB,240.3788082171712,198.8520618772461,0.0,1069.5278346,377477.65873015876,6426.5,1.9928661865233739,126
DRREDDY,208.2159144255252,176.65092823903808,0.0,1067.9739659635497,1656591.3253968253,1279.300048828125,1.751679552224,126
EICHERMOT,314.1979102137068,280.745831825,0.0,907.1525555,491426.6666666667,7229.0,1.7902862977136043,126
GRASIM,165.49694808094972,142.48500691086426,0.0,808.4088257414063,594284.6904761905,2836.699951171875,1.6873751812704179,126
HCLTECH,428.1740156069219,375.09551751904905,0.0,2264.395112035498,2794031.523809524,1673.199951171875,1.7415308382368664,126
HDFCAMC,233.01848682424742,200.7409042,0.0,1187.6825346,850213.9444444445,2674.699951171875,2.0668758291846165,126
HDFCBANK,1777.5790945753376,1647.6418700439635,0.0,4995.550634685364,18047233.412698414,1001.5,1.2873686058487535,126
HEROMOTOCO,407.71642657342477,317.876214175,0.0,4409.4488465,786608.4285714285,5960.0,2.1180619107943595,126
HINDALCO,375.72861607769687,331.7640185421875,0.0,2742.578388328308,5039979.404761905,852.0999755859375,1.8915135910880647,126
HINDUNILVR,400.49953501350075,319.4186403008423,0.0,1810.521088963501,1621752.642857143,2260.60009765625,1.672030578307303,126
ICICIBANK,1406.8347110714985,1233.9906086455812,0.0,3609.2043926966553,10074502.42857143,1366.0,1.1752413181761279,126
INDUSINDBK,357.88937623711433,254.20842854050295,0.0,2973.2240149434815,4445709.23015873,846.1500244140625,2.3579742527084764,126
ITC,496.9064387912289,424.17955869112245,0.0,2612.9867911951355,12125238.42857143,400.1000061035156,1.1529885303321508,126
JSWSTEEL,179.91263855852722,152.12140278489989,0.0,972.482703404358,1640422.1825396826,1125.5,1.9755227579824746,126
KOTAKBANK,710.5394371732772,614.0218272497802,0.0,2898.9435272621704,3406484.595238095,2176.60009765625,1.607716284476723,126
LT,616.4400446961523,523.448509394934,0.0,3210.8692156433103,1648786.888888889,4074.10009765625,1.4895485630553815,126
M&M,811.9713724469807,744.3654120609497,0.0,2646.051408,2374942.738095238,3679.60009765625,1.9453167333367247,126
MARUTI,574.5424356058377,478.0253263,0.0,3031.3459108,389940.49206349207,16522.0,1.622022946249919,126
