Rank,Stock,Avg_Turnover_Cr,Median_Turnover_Cr,Min_Turnover_Cr,Max_Turnover_Cr,Avg_Volume,Latest_Price,Avg_Spread_%,Trading_Days
1,HDFCBANK,1777.5790945753376,1647.6418700439635,0.0,4995.550634685364,18047233.412698414,1001.5,1.2873686058487535,126
2,RELIANCE,1510.1137979523326,1406.2881771181578,0.0,4236.6186525213625,10455335.325396825,1556.5,1.4247567882048573,126
3,ICICIBANK,1406.8347110714985,1233.9906086455812,0.0,3609.2043926966553,10074502.42857143,1366.0,1.1752413181761279,126
4,BHARTIARTL,1352.177882937946,967.5729863650268,0.0,17433.873146293397,6837638.658730159,2083.39990234375,1.5380438854571363,126
5,TCS,884.405886926237,828.4805187931153,0.0,2660.240782433838,2834375.8095238097,3220.5,1.434180845974058,126
6,SBIN,838.7515128362961,711.8032785271973,0.0,2218.1888232,9633316.896825397,963.1500244140625,1.3513349788020677,126
7,M&M,811.9713724469807,744.3654120609497,0.0,2646.051408,2374942.738095238,3679.60009765625,1.9453167333367247,126
8,AXISBANK,759.0294601069678,643.9103743168945,0.0,4183.242877159058,6542110.126984127,1286.0999755859375,1.5712202874024974,126
9,KOTAKBANK,710.5394371732772,614.0218272497802,0.0,2898.9435272621704,3406484.595238095,2176.60009765625,1.607716284476723,126
10,ITC,496.9064387912289,424.17955869112245,0.0,2612.9867911951355,12125238.42857143,400.1000061035156,1.1529885303321508,126
11,HCLTECH,428.17401655666424,375.09551751904905,0.0,2264.395112035498,2794031.523809524,1673.199951171875,1.7415308382368668,126
12,HINDUNILVR,400.49953501350075,319.4186403008423,0.0,1810.521088963501,1621752.642857143,2260.60009765625,1.672030578307303,126
13,HINDALCO,375.72861607769687,331.7640185421875,0.0,2742.578388328308,5039979.404761905,852.0999755859375,1.8915135910880647,126
14,SUNPHARMA,366.26855472733126,313.64972763133545,0.0,1464.3150163364257,2197649.8174603176,1793.5,1.5890937350822676,126
15,TITAN,337.97611065296553,256.23969873719483,0.0,2503.4831823786135,944056.0793650794,3880.199951171875,1.6385163159166636,126
16,NTPC,326.6420343549818,265.88207985898134,0.0,3265.3254063067106,9888529.555555556,325.04998779296875,1.4649644517916338,126
17,ASIANPAINT,297.44622089877817,215.60498700947267,0.0,1760.6324611955079,1161169.5714285714,2764.800048828125,1.762469335610511,126
18,ADANIPORTS,289.7623460522337,229.00840373011476,0.0,1357.0770801526855,2041181.3174603174,1522.800048828125,1.8605966134274559,126
19,TECHM,285.996515348703,240.83576461236572,0.0,1178.7742313857423,1900832.119047619,1578.4000244140625,1.8827382520506042,126
20,BAJAJFINSV,225.31486304911496,189.5263712358887,0.0,1290.8232008,1112069.6587301588,2083.10009765625,1.80034760020417,126
21,CIPLA,209.60304655926151,175.0878281421692,0.0,800.94503375,1369816.0555555555,1517.4000244140625,1.623077633646338,126
22,DRREDDY,208.2159144255252,176.65092823903808,0.0,1067.9739659635497,1656591.3253968253,1279.300048828125,1.751679552224,126
23,COALINDIA,199.8796955750869,172.04817358891296,0.0,998.8547771102723,5363329.785714285,383.3500061035156,1.3761458492409286,126
24,JSWSTEEL,179.91263855852722,152.12140278489989,0.0,972.482703404358,1640422.1825396826,1125.5,1.9755227579824746,126
25,SBILIFE,177.5589958275594,150.16835315427244,0.0,1251.5831557484742,949545.1825396825,2025.9000244140625,1.7248876902789647,126
26,NESTLEIND,173.61096125399868,119.1754564576355,0.0,2696.1834279210448,1448484.388888889,1238.300048828125,1.7719892045519752,126
27,GRASIM,165.49694808094972,142.48500691086426,0.0,808.4088257414063,594284.6904761905,2836.699951171875,1.6873751812704179,126
28,TATACONSUM,134.59908865694788,114.47908389921264,0.0,672.0605254686035,1198018.388888889,1149.300048828125,1.9904982583985287,126
